Bag,Sect,Depth top [m],Depth bot [m],Depth ice/snow [m],Grains [#] (Fabric Analyzer G50 (FA)),Grain size mean [pixel] (Fabric Analyzer G50 (FA)),"Sum vector norm (sum_vector_norm, Fabric Analy...)",Pref orient [%] (Fabric Analyzer G50 (FA)),Pref orient [%] (Weighted),Conc param (Fabric Analyzer G50 (FA)),Conc param (Weighted),Spherical apt [deg] (Fabric Analyzer G50 (FA)),Spherical apt [deg] (Weighted),EVA1 (Fabric Analyzer G50 (FA)),EVA1 (Weighted),EVA2 (Fabric Analyzer G50 (FA)),EVA2 (Weighted),EVA3 (Fabric Analyzer G50 (FA)),EVA3 (Weighted),Woodcock param (Fabric Analyzer G50 (FA)),Woodcock param (Weighted),Grain area [mm**2] (Fabric Analyzer G50 (FA))
1315,2,722.79,722.88,722.84,916,12150,0.617745,23.5489,31.4883,2.61605,2.91602,60.9697,55.9112,0.00912134,0.00842347,0.450672,0.424599,0.540206,0.566978,0.046463,0.0737668,4.86
1315,3,722.88,722.98,722.93,834,14216,0.696055,39.2111,22.4085,3.29007,2.57451,51.2306,61.8103,0.0102698,0.00922107,0.413071,0.437668,0.576659,0.553111,0.0903071,0.0606474,5.6864
1315,4,722.98,723.07,723.02,846,13505,0.680873,36.1747,35.0454,3.13355,3.07543,53.0259,53.7477,0.00986047,0.00947361,0.435904,0.437598,0.554235,0.552928,0.0633872,0.0610329,5.402
1315,5,723.07,723.16,723.11,548,15233,0.741218,48.2436,42.9272,3.86426,3.4979,46.0065,49.1264,0.0144358,0.0148342,0.361736,0.391119,0.623828,0.594047,0.169179,0.127731,6.0932
1315,6,723.16,723.25,723.2,604,16727,0.65882,31.764,32.5036,2.931,2.95821,55.6952,55.31,0.0097342,0.0101725,0.456604,0.466212,0.533662,0.523616,0.0405246,0.0303582,6.6908
1346,1,739.75,739.84,739.8,796,12832,0.631414,26.2828,38.1266,2.71307,3.22834,59.1583,51.9145,0.00801521,0.00845892,0.411584,0.42101,0.580401,0.570531,0.0872646,0.0777771,5.1328
1346,2,739.84,739.93,739.89,789,14655,0.618399,23.6798,26.1937,2.62054,2.70636,60.8814,59.2774,0.0102525,0.00984235,0.454427,0.475924,0.535321,0.514233,0.0432092,0.0199606,5.862
1346,3,739.93,740.03,739.98,805,13477,0.731003,46.2005,32.3444,3.71751,2.95248,47.1791,55.3904,0.0105077,0.0091212,0.39367,0.435826,0.595823,0.555053,0.114376,0.0625398,5.3908
1346,4,740.03,740.12,740.07,622,15055,0.748832,49.7664,34.9904,3.9814,3.07152,45.1338,53.7974,0.0141761,0.0137924,0.358865,0.438354,0.626959,0.547854,0.172661,0.0644661,6.022
1346,5,740.12,740.21,740.16,829,13022,0.73523,47.0459,51.8154,3.77686,4.14569,46.6936,43.993,0.0137284,0.0131741,0.355729,0.33473,0.630543,0.652096,0.175873,0.206137,5.2088
1346,6,740.21,740.3,740.25,736,8953,0.761234,52.2468,49.0679,4.1882,3.92146,43.7122,45.5738,0.0136319,0.0130841,0.33085,0.352577,0.655518,0.634339,0.214395,0.178305,3.5812
1377,1,756.8,756.89,756.85,1252,6863,0.729508,45.9016,37.6126,3.69697,3.20321,47.3509,52.2016,0.00936381,0.00844588,0.377262,0.437074,0.613374,0.55448,0.1315,0.0602896,2.7452
1377,2,756.89,756.98,756.94,880,10306,0.749373,49.8745,44.1842,3.98999,3.57914,45.0719,48.3764,0.0108689,0.00910646,0.357066,0.395618,0.632065,0.595275,0.163536,0.108333,4.1224
1377,3,756.98,757.08,757.03,664,16588,0.74066,48.132,38.2349,3.85594,3.2332,46.0705,51.8597,0.0168722,0.0160777,0.362601,0.416534,0.620527,0.567388,0.17514,0.0949679,6.6352
1377,4,757.08,757.17,757.12,1014,10805,0.747668,49.5336,41.3346,3.96304,3.4058,45.2672,50.0238,0.0133924,0.0119069,0.35397,0.40639,0.632638,0.581703,0.177335,0.101594,4.322
1377,5,757.17,757.26,757.21,1234,8830,0.717418,43.4837,39.4589,3.5388,3.30087,48.7442,51.114,0.0174842,0.0140241,0.373051,0.405414,0.609465,0.580562,0.160392,0.10674,3.532
1377,6,757.26,757.35,757.3,771,14802,0.770751,54.1502,39.3454,4.36207,3.29308,42.6194,51.198,0.0146413,0.0132982,0.326914,0.412966,0.658445,0.573736,0.22544,0.0957016,5.9208
1400,1,769.45,769.54,769.5,591,16703,0.802405,60.481,48.9623,5.06086,3.91204,38.9499,45.6442,0.0137136,0.0122984,0.277551,0.35784,0.708736,0.629862,0.311701,0.167748,6.6812
1400,2,769.54,769.63,769.59,176,23127,0.841701,68.3403,45.4385,6.31717,3.64476,34.2406,47.7966,0.0157973,0.0215716,0.214166,0.364244,0.770037,0.614184,0.490884,0.184851,9.2508
1400,3,769.63,769.73,769.68,647,17872,0.775159,55.0319,45.2032,4.44759,3.64421,42.1121,47.8014,0.0160067,0.0142421,0.312818,0.378735,0.671176,0.607023,0.256814,0.143793,7.1488
1406,1,772.75,772.84,772.8,931,10249,0.742501,48.5001,39.5065,3.8835,3.30259,45.8595,51.0955,0.0116486,0.00965205,0.364183,0.4219,0.624169,0.568448,0.156505,0.0789234,4.0996
1406,2,772.84,772.93,772.89,920,12978,0.763305,52.6609,42.0317,4.22484,3.44641,43.4747,49.6217,0.009487,0.0113975,0.34443,0.405258,0.646083,0.583344,0.175124,0.102,5.1912
1406,3,772.93,773.03,772.98,720,13835,0.760057,52.0114,37.4357,4.16765,3.19227,43.8473,52.3283,0.0087922,0.00993204,0.341447,0.417667,0.64976,0.572401,0.175827,0.0842901,5.534
1406,4,773.03,773.12,773.07,624,16546,0.781845,56.3691,42.1967,4.5839,3.45446,41.3408,49.5432,0.019019,0.0169493,0.300713,0.383136,0.680268,0.599915,0.295696,0.143802,6.6184
1406,5,773.12,773.21,773.16,637,15661,0.811528,62.3057,46.2239,5.30584,3.71328,37.8762,47.2142,0.0174745,0.0221681,0.269067,0.36167,0.713458,0.616162,0.356652,0.190818,6.2644
1406,6,773.21,773.3,773.25,626,12802,0.745159,49.0319,38.1065,3.92402,3.2262,45.5547,51.9389,0.0100434,0.0111209,0.365368,0.431809,0.624589,0.55707,0.149191,0.0696087,5.1208
1444,3,793.83,793.93,793.88,603,18123,0.78901,57.802,54.6103,4.73956,4.39898,40.5114,42.3981,0.0187759,0.0188802,0.299479,0.324953,0.681745,0.656167,0.297027,0.246958,7.2492
1444,4,793.93,794.02,793.97,689,14792,0.774276,54.8552,44.1381,4.43019,3.57506,42.2138,48.4132,0.0215943,0.0212083,0.319495,0.381458,0.658911,0.597334,0.268658,0.155202,5.9168
1444,5,794.02,794.11,794.06,1083,8825,0.7461,49.22,47.161,3.93856,3.78159,45.4469,46.6555,0.0300863,0.0188952,0.343878,0.352601,0.626036,0.628503,0.245923,0.197511,3.53
1444,6,794.11,794.2,794.15,763,16238,0.778611,55.7222,44.7157,4.51694,3.61292,41.7142,48.0752,0.0151758,0.0127259,0.321502,0.382015,0.663322,0.605259,0.237205,0.13528,6.4952
1475,1,810.7,810.79,810.75,898,12606,0.760212,52.0423,43.2402,4.17035,3.51969,43.8295,48.9216,0.0161042,0.0137524,0.333697,0.379182,0.650199,0.607065,0.220063,0.14189,5.0424
1475,2,810.79,810.88,810.84,632,19043,0.800434,60.0869,47.1024,5.01088,3.77491,39.1807,46.7092,0.0192044,0.0148805,0.281953,0.372971,0.698843,0.612149,0.337857,0.153805,7.6172
1475,3,810.88,810.98,810.93,768,10020,0.757909,51.5819,52.4657,4.13068,4.20201,44.0935,43.6222,0.0136015,0.0115792,0.326475,0.33399,0.659923,0.654431,0.221438,0.200082,4.008
1475,4,810.98,811.07,811.02,711,16962,0.754838,50.9676,46.1649,4.07893,3.70982,44.4456,47.2431,0.0217906,0.0189315,0.340719,0.369476,0.63749,0.611593,0.227846,0.169619,6.7848
1475,5,811.07,811.16,811.11,702,18384,0.775363,55.0726,45.611,4.45163,3.67198,42.0886,47.5626,0.0175231,0.0160012,0.323289,0.374668,0.659188,0.609331,0.24441,0.154223,7.3536
1475,6,811.16,811.25,811.2,923,12909,0.790887,58.1775,48.9887,4.78211,3.91645,40.2935,45.6112,0.0133876,0.012407,0.300151,0.358243,0.686461,0.62935,0.266004,0.167554,5.1636
1507,1,828.3,828.39,828.35,985,10371,0.804565,60.913,47.1643,5.11679,3.78148,38.6966,46.6564,0.0170689,0.0151119,0.283339,0.364519,0.699592,0.620369,0.321726,0.167049,4.1484
1507,3,828.48,828.58,828.53,1101,10139,0.799922,59.9845,51.4154,4.99806,4.11279,39.2406,44.2142,0.0188963,0.0166873,0.277653,0.333969,0.703451,0.649343,0.345919,0.221904,4.0556
1507,4,828.58,828.67,828.62,830,12273,0.741487,48.2973,35.738,3.86827,3.10851,45.9758,53.333,0.0122157,0.0121437,0.355622,0.436586,0.632162,0.551271,0.170647,0.0651116,4.9092
1507,5,828.67,828.76,828.71,1053,10773,0.718457,43.6915,42.9534,3.55186,3.50258,48.6242,49.0823,0.0140995,0.0140514,0.380179,0.390824,0.605722,0.595124,0.14138,0.126449,4.3092
1507,6,828.76,828.85,828.8,594,15241,0.708025,41.6051,38.8875,3.42496,3.26714,49.8328,51.4812,0.0338509,0.0225622,0.371927,0.405891,0.594222,0.571547,0.195498,0.118438,6.0964
1546,1,849.75,849.84,849.8,537,15477,0.680815,36.163,42.073,3.13298,3.44619,53.0329,49.6238,0.0144293,0.0116052,0.412813,0.396841,0.572758,0.591554,0.0976434,0.113026,6.1908
1546,2,849.84,849.93,849.89,692,17157,0.761148,52.2296,40.9336,4.1867,3.38113,43.7221,50.2734,0.00982567,0.0100597,0.338309,0.40113,0.651866,0.58881,0.185331,0.104135,6.8628
1546,3,849.93,850.03,849.98,651,14114,0.61857,23.7141,25.6294,2.62172,2.6851,60.8583,59.6605,0.0123013,0.0098482,0.436196,0.440581,0.551503,0.549571,0.0657314,0.0581574,5.6456
1546,4,850.03,850.12,850.07,782,16037,0.691046,38.2092,37.2547,3.23673,3.18342,51.8199,52.4316,0.00826742,0.00888142,0.424024,0.418289,0.567708,0.572829,0.0741127,0.0816193,6.4148
1546,5,850.12,850.21,850.16,729,10343,0.717451,43.4902,44.5552,3.53921,3.60225,48.7405,48.1697,0.00936673,0.00916806,0.419997,0.399795,0.570636,0.591037,0.0805931,0.10355,4.1372
1546,6,850.21,850.3,850.25,918,11574,0.618287,23.6574,24.8818,2.61977,2.65957,60.8965,60.1326,0.00770934,0.0078643,0.439812,0.430177,0.552479,0.561958,0.0563978,0.0667764,4.6296
1558,1,856.35,856.44,856.4,985,11818,0.712127,42.4255,22.1394,3.47376,2.56608,49.3567,61.9863,0.0148262,0.0127097,0.393754,0.457558,0.59142,0.529732,0.12405,0.0408723,4.7272
1558,2,856.44,856.53,856.49,915,13992,0.733869,46.7738,38.8363,3.75755,3.26634,46.8497,51.4901,0.0107667,0.0108176,0.373621,0.42755,0.615612,0.561633,0.140796,0.0741868,5.5968
1558,3,856.53,856.63,856.58,755,16804,0.733101,46.6201,39.9417,3.74673,3.32569,46.938,50.8492,0.0132029,0.0117118,0.376869,0.42186,0.609928,0.566428,0.143651,0.082218,6.7216
1558,4,856.63,856.72,856.67,1247,9413,0.718286,43.6572,42.006,3.5497,3.44587,48.644,49.627,0.00757233,0.00686952,0.388042,0.399448,0.604386,0.593682,0.112559,0.097529,3.7652
1558,5,856.72,856.81,856.76,848,13740,0.777542,55.5084,41.5066,4.49523,3.41516,41.8375,49.9302,0.013531,0.0116082,0.317005,0.408953,0.669464,0.579438,0.237025,0.0978297,5.496
1558,6,856.81,856.9,856.85,630,19482,0.772083,54.4167,48.4956,4.38757,3.877,42.4661,45.909,0.0126104,0.0139453,0.319902,0.360977,0.667488,0.625077,0.227466,0.168751,7.7928
1588,1,872.85,872.94,872.9,1265,7673,0.695615,39.1229,17.7171,3.28531,2.42872,51.2823,65.1564,0.0119699,0.0149974,0.410143,0.425156,0.577887,0.559846,0.0970181,0.0822839,3.0692
1588,2,872.94,873.03,872.99,859,12830,0.740085,48.0169,37.3126,3.84741,3.18672,46.1365,52.393,0.00758356,0.00827501,0.370708,0.400232,0.621708,0.591493,0.132939,0.100703,5.132
1588,3,873.03,873.13,873.08,1118,11033,0.736402,47.2804,40.6995,3.79366,3.36963,46.559,50.391,0.0134432,0.0131811,0.358989,0.402724,0.627568,0.584094,0.170043,0.108733,4.4132
1588,4,873.13,873.22,873.17,823,15003,0.734647,46.9294,39.4107,3.76857,3.2969,46.7604,51.1568,0.0226287,0.0289571,0.362775,0.397366,0.614596,0.573677,0.190006,0.140208,6.0012
1588,6,873.31,873.4,873.35,1112,9584,0.662547,32.5094,34.2124,2.96338,3.03735,55.2379,54.2389,0.0131439,0.0116486,0.389619,0.442713,0.597237,0.545638,0.126031,0.0574629,3.8336
1606,1,882.75,882.84,882.8,997,10483,0.700425,40.0851,30.551,3.33806,2.87692,50.7188,56.4889,0.0089336,0.0105861,0.405546,0.442933,0.58552,0.546481,0.0962586,0.0562636,4.1932
1606,2,882.84,882.93,882.89,476,6502,0.757653,51.5307,50.7012,4.12632,4.04837,44.1229,44.6577,0.00871709,0.00747838,0.332857,0.334765,0.658426,0.657757,0.187277,0.177672,2.6008
1606,3,882.93,883.03,882.98,1166,11565,0.723512,44.7023,32.0236,3.61679,2.93967,48.0411,55.5714,0.00963695,0.0105149,0.376847,0.436558,0.613516,0.552927,0.132934,0.0634184,4.626
1615,1,887.7,887.79,887.75,709,15723,0.5921,18.4199,32.4597,2.45158,2.95702,64.5842,55.3267,0.0106276,0.00978648,0.446426,0.452651,0.542946,0.537563,0.0523663,0.0448408,6.2892
1615,2,887.79,887.88,887.84,607,18876,0.754015,50.803,26.9489,4.06529,2.7333,44.5399,58.8044,0.0117115,0.0107223,0.360338,0.453152,0.62795,0.536125,0.162096,0.0449103,7.5504
1615,3,887.88,887.98,887.93,920,11254,0.584362,16.8725,44.284,2.40594,3.58573,65.7474,48.3172,0.0141063,0.0127044,0.394007,0.378122,0.591887,0.609174,0.122216,0.140539,4.5016
1615,4,887.98,888.07,888.02,919,12033,0.800943,60.1886,50.1576,5.02369,4.00829,39.1212,44.9408,0.0210212,0.0172521,0.278975,0.33338,0.700004,0.649368,0.355804,0.225139,4.8132
1615,5,888.07,888.16,888.11,758,13905,0.811427,62.2854,55.5757,5.30298,4.4961,37.8882,41.8325,0.0207727,0.016253,0.263308,0.298172,0.715919,0.685575,0.393845,0.286173,5.562
1615,6,888.16,888.25,888.2,448,23326,0.777243,55.4486,47.2361,4.48919,3.78201,41.872,46.6521,0.0245098,0.0196974,0.309516,0.363139,0.665975,0.617163,0.302154,0.181981,9.3304
1637,1,899.8,899.89,899.85,898,11969,0.721638,44.3276,39.4421,3.59245,3.29895,48.257,51.1347,0.0164349,0.0144062,0.37428,0.405396,0.609285,0.580198,0.155901,0.107427,4.7876
1637,2,899.89,899.98,899.94,673,18282,0.715822,43.1643,40.8075,3.51892,3.37379,48.9289,50.3484,0.0184545,0.0181689,0.371684,0.404155,0.609862,0.577676,0.164913,0.115153,7.3128
